		 Counter Testbench  (log saved to 'counter.log')
==    INITIAL  == : RST_ = x	M = x	LD = x	D = xxxx	CE = x	Q = 'bxxxx	CO = x	 Time -:    0.00 ns
== After Reset == : RST_ = 0	M = x	LD = x	D = xxxx	CE = x	Q = 'b0000	CO = 0	 Time -:   20.00 ns
==    Force    == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0000	CO = 0	 Time -:   20.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0000 ( 0)	CO = 0	CLK=0	 Time -:   20.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0001 ( 1)	CO = 0	CLK=1	 Time -:   25.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0001 ( 1)	CO = 0	CLK=0	 Time -:   30.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0010 ( 2)	CO = 0	CLK=1	 Time -:   35.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0010 ( 2)	CO = 0	CLK=0	 Time -:   40.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0011 ( 3)	CO = 0	CLK=1	 Time -:   45.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0011 ( 3)	CO = 0	CLK=0	 Time -:   50.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0100 ( 4)	CO = 0	CLK=1	 Time -:   55.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0100 ( 4)	CO = 0	CLK=0	 Time -:   60.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0101 ( 5)	CO = 0	CLK=1	 Time -:   65.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0101 ( 5)	CO = 0	CLK=0	 Time -:   70.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0110 ( 6)	CO = 0	CLK=1	 Time -:   75.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0110 ( 6)	CO = 0	CLK=0	 Time -:   80.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0111 ( 7)	CO = 0	CLK=1	 Time -:   85.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0111 ( 7)	CO = 0	CLK=0	 Time -:   90.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1000 ( 8)	CO = 0	CLK=1	 Time -:   95.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1000 ( 8)	CO = 0	CLK=0	 Time -:  100.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1001 ( 9)	CO = 0	CLK=1	 Time -:  105.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1001 ( 9)	CO = 0	CLK=0	 Time -:  110.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1010 (10)	CO = 0	CLK=1	 Time -:  115.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1010 (10)	CO = 0	CLK=0	 Time -:  120.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1011 (11)	CO = 0	CLK=1	 Time -:  125.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1011 (11)	CO = 0	CLK=0	 Time -:  130.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1100 (12)	CO = 0	CLK=1	 Time -:  135.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1100 (12)	CO = 0	CLK=0	 Time -:  140.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1101 (13)	CO = 0	CLK=1	 Time -:  145.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1101 (13)	CO = 0	CLK=0	 Time -:  150.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1110 (14)	CO = 0	CLK=1	 Time -:  155.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1110 (14)	CO = 0	CLK=0	 Time -:  160.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1111 (15)	CO = 1	CLK=1	 Time -:  165.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b1111 (15)	CO = 1	CLK=0	 Time -:  170.00 ns
==    Monitor  == : RST_ = 1	M = 0	LD = 0	D = 0000	CE = 1	Q = 'b0000 ( 0)	CO = 1	CLK=1	 Time -:  175.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b0000 ( 0)	CO = 1	CLK=0	 Time -:  180.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1111 (15)	CO = 1	CLK=1	 Time -:  185.00 ns
==    Monitor  == : RST_ = 1	M = 1	LD = 0	D = 0000	CE = 1	Q = 'b1111 (15)	CO = 1	CLK=0	 Time -:  190.00 ns
