255 Sequences of PRBS8 (L=8) for Initial seed : 11010011

 PRN : 11010011 	 PRN1 : 00101100 
 PRN : 01001100 	 PRN1 : 10110011 
 PRN : 10011001 	 PRN1 : 01100110 
 PRN : 00110011 	 PRN1 : 11001100 
 PRN : 01100110 	 PRN1 : 10011001 
 PRN : 11001101 	 PRN1 : 00110010 
 PRN : 10011010 	 PRN1 : 01100101 
 PRN : 00110101 	 PRN1 : 11001010 
 PRN : 01101010 	 PRN1 : 10010101 
 PRN : 11010100 	 PRN1 : 00101011 
 PRN : 10101000 	 PRN1 : 01010111 
 PRN : 01010001 	 PRN1 : 10101110 
 PRN : 10100011 	 PRN1 : 01011100 
 PRN : 01000110 	 PRN1 : 10111001 
 PRN : 10001100 	 PRN1 : 01110011 
 PRN : 00011000 	 PRN1 : 11100111 
 PRN : 00110000 	 PRN1 : 11001111 
 PRN : 01100000 	 PRN1 : 10011111 
 PRN : 11000001 	 PRN1 : 00111110 
 PRN : 10000011 	 PRN1 : 01111100 
 PRN : 00000111 	 PRN1 : 11111000 
 PRN : 00001110 	 PRN1 : 11110001 
 PRN : 00011101 	 PRN1 : 11100010 
 PRN : 00111010 	 PRN1 : 11000101 
 PRN : 01110101 	 PRN1 : 10001010 
 PRN : 11101010 	 PRN1 : 00010101 
 PRN : 11010101 	 PRN1 : 00101010 
 PRN : 10101010 	 PRN1 : 01010101 
 PRN : 01010101 	 PRN1 : 10101010 
 PRN : 10101011 	 PRN1 : 01010100 
 PRN : 01010111 	 PRN1 : 10101000 
 PRN : 10101111 	 PRN1 : 01010000 
 PRN : 01011111 	 PRN1 : 10100000 
 PRN : 10111110 	 PRN1 : 01000001 
 PRN : 01111100 	 PRN1 : 10000011 
 PRN : 11111001 	 PRN1 : 00000110 
 PRN : 11110010 	 PRN1 : 00001101 
 PRN : 11100101 	 PRN1 : 00011010 
 PRN : 11001010 	 PRN1 : 00110101 
 PRN : 10010100 	 PRN1 : 01101011 
 PRN : 00101000 	 PRN1 : 11010111 
 PRN : 01010000 	 PRN1 : 10101111 
 PRN : 10100001 	 PRN1 : 01011110 
 PRN : 01000010 	 PRN1 : 10111101 
 PRN : 10000100 	 PRN1 : 01111011 
 PRN : 00001001 	 PRN1 : 11110110 
 PRN : 00010011 	 PRN1 : 11101100 
 PRN : 00100111 	 PRN1 : 11011000 
 PRN : 01001111 	 PRN1 : 10110000 
 PRN : 10011111 	 PRN1 : 01100000 
 PRN : 00111111 	 PRN1 : 11000000 
 PRN : 01111111 	 PRN1 : 10000000 
 PRN : 11111111 	 PRN1 : 00000000 
 PRN : 11111110 	 PRN1 : 00000001 
 PRN : 11111100 	 PRN1 : 00000011 
 PRN : 11111000 	 PRN1 : 00000111 
 PRN : 11110000 	 PRN1 : 00001111 
 PRN : 11100001 	 PRN1 : 00011110 
 PRN : 11000010 	 PRN1 : 00111101 
 PRN : 10000101 	 PRN1 : 01111010 
 PRN : 00001011 	 PRN1 : 11110100 
 PRN : 00010111 	 PRN1 : 11101000 
 PRN : 00101111 	 PRN1 : 11010000 
 PRN : 01011110 	 PRN1 : 10100001 
 PRN : 10111100 	 PRN1 : 01000011 
 PRN : 01111000 	 PRN1 : 10000111 
 PRN : 11110001 	 PRN1 : 00001110 
 PRN : 11100011 	 PRN1 : 00011100 
 PRN : 11000110 	 PRN1 : 00111001 
 PRN : 10001101 	 PRN1 : 01110010 
 PRN : 00011010 	 PRN1 : 11100101 
 PRN : 00110100 	 PRN1 : 11001011 
 PRN : 01101000 	 PRN1 : 10010111 
 PRN : 11010000 	 PRN1 : 00101111 
 PRN : 10100000 	 PRN1 : 01011111 
 PRN : 01000000 	 PRN1 : 10111111 
 PRN : 10000000 	 PRN1 : 01111111 
 PRN : 00000001 	 PRN1 : 11111110 
 PRN : 00000010 	 PRN1 : 11111101 
 PRN : 00000100 	 PRN1 : 11111011 
 PRN : 00001000 	 PRN1 : 11110111 
 PRN : 00010001 	 PRN1 : 11101110 
 PRN : 00100011 	 PRN1 : 11011100 
 PRN : 01000111 	 PRN1 : 10111000 
 PRN : 10001110 	 PRN1 : 01110001 
 PRN : 00011100 	 PRN1 : 11100011 
 PRN : 00111000 	 PRN1 : 11000111 
 PRN : 01110001 	 PRN1 : 10001110 
 PRN : 11100010 	 PRN1 : 00011101 
 PRN : 11000100 	 PRN1 : 00111011 
 PRN : 10001001 	 PRN1 : 01110110 
 PRN : 00010010 	 PRN1 : 11101101 
 PRN : 00100101 	 PRN1 : 11011010 
 PRN : 01001011 	 PRN1 : 10110100 
 PRN : 10010111 	 PRN1 : 01101000 
 PRN : 00101110 	 PRN1 : 11010001 
 PRN : 01011100 	 PRN1 : 10100011 
 PRN : 10111000 	 PRN1 : 01000111 
 PRN : 01110000 	 PRN1 : 10001111 
 PRN : 11100000 	 PRN1 : 00011111 
 PRN : 11000000 	 PRN1 : 00111111 
 PRN : 10000001 	 PRN1 : 01111110 
 PRN : 00000011 	 PRN1 : 11111100 
 PRN : 00000110 	 PRN1 : 11111001 
 PRN : 00001100 	 PRN1 : 11110011 
 PRN : 00011001 	 PRN1 : 11100110 
 PRN : 00110010 	 PRN1 : 11001101 
 PRN : 01100100 	 PRN1 : 10011011 
 PRN : 11001001 	 PRN1 : 00110110 
 PRN : 10010010 	 PRN1 : 01101101 
 PRN : 00100100 	 PRN1 : 11011011 
 PRN : 01001001 	 PRN1 : 10110110 
 PRN : 10010011 	 PRN1 : 01101100 
 PRN : 00100110 	 PRN1 : 11011001 
 PRN : 01001101 	 PRN1 : 10110010 
 PRN : 10011011 	 PRN1 : 01100100 
 PRN : 00110111 	 PRN1 : 11001000 
 PRN : 01101110 	 PRN1 : 10010001 
 PRN : 11011100 	 PRN1 : 00100011 
 PRN : 10111001 	 PRN1 : 01000110 
 PRN : 01110010 	 PRN1 : 10001101 
 PRN : 11100100 	 PRN1 : 00011011 
 PRN : 11001000 	 PRN1 : 00110111 
 PRN : 10010000 	 PRN1 : 01101111 
 PRN : 00100000 	 PRN1 : 11011111 
 PRN : 01000001 	 PRN1 : 10111110 
 PRN : 10000010 	 PRN1 : 01111101 
 PRN : 00000101 	 PRN1 : 11111010 
 PRN : 00001010 	 PRN1 : 11110101 
 PRN : 00010101 	 PRN1 : 11101010 
 PRN : 00101011 	 PRN1 : 11010100 
 PRN : 01010110 	 PRN1 : 10101001 
 PRN : 10101101 	 PRN1 : 01010010 
 PRN : 01011011 	 PRN1 : 10100100 
 PRN : 10110110 	 PRN1 : 01001001 
 PRN : 01101101 	 PRN1 : 10010010 
 PRN : 11011010 	 PRN1 : 00100101 
 PRN : 10110101 	 PRN1 : 01001010 
 PRN : 01101011 	 PRN1 : 10010100 
 PRN : 11010110 	 PRN1 : 00101001 
 PRN : 10101100 	 PRN1 : 01010011 
 PRN : 01011001 	 PRN1 : 10100110 
 PRN : 10110010 	 PRN1 : 01001101 
 PRN : 01100101 	 PRN1 : 10011010 
 PRN : 11001011 	 PRN1 : 00110100 
 PRN : 10010110 	 PRN1 : 01101001 
 PRN : 00101100 	 PRN1 : 11010011 
 PRN : 01011000 	 PRN1 : 10100111 
 PRN : 10110000 	 PRN1 : 01001111 
 PRN : 01100001 	 PRN1 : 10011110 
 PRN : 11000011 	 PRN1 : 00111100 
 PRN : 10000111 	 PRN1 : 01111000 
 PRN : 00001111 	 PRN1 : 11110000 
 PRN : 00011111 	 PRN1 : 11100000 
 PRN : 00111110 	 PRN1 : 11000001 
 PRN : 01111101 	 PRN1 : 10000010 
 PRN : 11111011 	 PRN1 : 00000100 
 PRN : 11110110 	 PRN1 : 00001001 
 PRN : 11101101 	 PRN1 : 00010010 
 PRN : 11011011 	 PRN1 : 00100100 
 PRN : 10110111 	 PRN1 : 01001000 
 PRN : 01101111 	 PRN1 : 10010000 
 PRN : 11011110 	 PRN1 : 00100001 
 PRN : 10111101 	 PRN1 : 01000010 
 PRN : 01111010 	 PRN1 : 10000101 
 PRN : 11110101 	 PRN1 : 00001010 
 PRN : 11101011 	 PRN1 : 00010100 
 PRN : 11010111 	 PRN1 : 00101000 
 PRN : 10101110 	 PRN1 : 01010001 
 PRN : 01011101 	 PRN1 : 10100010 
 PRN : 10111010 	 PRN1 : 01000101 
 PRN : 01110100 	 PRN1 : 10001011 
 PRN : 11101000 	 PRN1 : 00010111 
 PRN : 11010001 	 PRN1 : 00101110 
 PRN : 10100010 	 PRN1 : 01011101 
 PRN : 01000100 	 PRN1 : 10111011 
 PRN : 10001000 	 PRN1 : 01110111 
 PRN : 00010000 	 PRN1 : 11101111 
 PRN : 00100001 	 PRN1 : 11011110 
 PRN : 01000011 	 PRN1 : 10111100 
 PRN : 10000110 	 PRN1 : 01111001 
 PRN : 00001101 	 PRN1 : 11110010 
 PRN : 00011011 	 PRN1 : 11100100 
 PRN : 00110110 	 PRN1 : 11001001 
 PRN : 01101100 	 PRN1 : 10010011 
 PRN : 11011000 	 PRN1 : 00100111 
 PRN : 10110001 	 PRN1 : 01001110 
